V1,V2
2.072345,-3.241693
17.93671,15.78481
1.083576,7.319176
11.12067,14.40678
23.71155,2.557729
24.16993,32.02478
21.66578,4.892855
4.693684,12.34217
19.21191,-1.121366
4.230391,-4.441536
9.12713,23.60572
0.4075031,15.29705
7.314846,3.309312
-3.438403,-12.02527
17.63935,-3.212345
4.415292,22.81555
11.94122,8.122487
0.7258532,1.806819
8.185273,28.1326
-5.773587,1.0248
18.76943,24.16946
7.752016,-3.334991
10.61132,28.44378
2.02165,-4.687122
5.145525,11.186
6.24331,19.47716
-11.70671,8.073185
7.255978,14.63704
3.392373,1.220712
24.2999,40.42887
4.094005,6.944695
11.80358,-2.445336
0.09228785,-6.651035
28.50607,-9.091833
23.40831,7.931438
10.56305,12.54468
20.14157,11.11789
-1.871265,8.60885
29.30237,14.02176
18.65383,17.21672
-2.972188,6.370999
10.32313,12.11574
16.90539,-1.355044
6.75371,12.02797
23.94777,13.35047
6.883513,6.188563
-1.241542,10.08179
20.50827,-1.57887
-3.75683,1.60851
17.9176,13.09896
2.002537,-0.656524
10.7768,15.5336
24.15819,5.330366
0.3268727,7.288787
21.64777,14.00506
6.871417,21.51998
15.14264,5.111947
11.54712,4.75756
0.6611676,-10.14263
-13.66531,16.93903
24.90937,-10.82038
-4.53022,-6.173767
3.163677,8.051481
1.495172,-7.261601
7.097637,2.105751
3.509483,24.58487
12.99879,24.91248
0.3593824,6.387915
14.35429,-2.252421
3.831208,-2.000873
31.40462,26.77209
-5.501097,13.39128
-1.04476,5.955898
4.409013,9.323681
2.917201,16.53999
7.265954,10.64794
10.32038,13.36857
9.35213,10.42427
6.648532,11.07535
-1.922306,4.888493
7.22604,13.02948
8.327288,8.540999
17.69046,21.59555
16.58353,18.16115
12.35425,31.96708
2.471138,5.482761
18.4925,29.42421
10.1196,7.162078
20.40245,3.943319
12.71589,4.531656
24.35859,-4.0644
21.74312,15.90887
12.27208,-9.612116
18.29681,22.38563
3.530957,8.673297
5.026042,36.03767
-0.8633009,-7.586249
26.83892,13.13713
19.11999,7.209715
-0.8841637,27.15254
42.0723,-13.2417
57.9367,5.78481
41.0836,-2.68082
51.1207,4.40678
63.7116,-7.44227
64.1699,22.0248
61.6658,-5.10714
44.6937,2.34217
59.2119,-11.1214
44.2304,-14.4415
49.1271,13.6057
40.4075,5.29705
47.3148,-6.69069
36.5616,-22.0253
57.6394,-13.2123
44.4153,12.8156
51.9412,-1.87751
40.7259,-8.19318
48.1853,18.1326
34.2264,-8.9752
58.7694,14.1695
47.752,-13.335
50.6113,18.4438
42.0217,-14.6871
45.1455,1.186
46.2433,9.47716
28.2933,-1.92681
47.256,4.63704
43.3924,-8.77929
64.2999,30.4289
44.094,-3.05531
51.8036,-12.4453
40.0923,-16.651
68.5061,-19.0918
63.4083,-2.06856
50.5631,2.54468
60.1416,1.11789
38.1287,-1.39115
69.3024,4.02176
58.6538,7.21672
37.0278,-3.629
50.3231,2.11574
56.9054,-11.355
46.7537,2.02797
63.9478,3.35047
46.8835,-3.81144
38.7585,0.08179
60.5083,-11.5789
36.2432,-8.39149
57.9176,3.09896
42.0025,-10.6565
50.7768,5.5336
64.1582,-4.66963
40.3269,-2.71121
61.6478,4.00506
46.8714,11.52
55.1426,-4.88805
51.5471,-5.24244
40.6612,-20.1426
26.3347,6.93903
64.9094,-20.8204
35.4698,-16.1738
43.1637,-1.94852
41.4952,-17.2616
47.0976,-7.89425
43.5095,14.5849
52.9988,14.9125
40.3594,-3.61209
54.3543,-12.2524
43.8312,-12.0009
71.4046,16.7721
34.4989,3.39128
38.9552,-4.0441
44.409,-0.676319
42.9172,6.53999
47.266,0.64794
50.3204,3.36857
49.3521,0.42427
46.6485,1.07535
38.0777,-5.11151
47.226,3.02948
48.3273,-1.459
57.6905,11.5956
56.5835,8.16115
52.3543,21.9671
42.4711,-4.51724
58.4925,19.4242
50.1196,-2.83792
60.4025,-6.05668
52.7159,-5.46834
64.3586,-14.0644
61.7431,5.90887
52.2721,-19.6121
58.2968,12.3856
43.531,-1.3267
45.026,26.0377
39.1367,-17.5862
66.8389,3.13713
59.12,-2.79029
39.1158,17.1525
42.0723,-13.2417
57.9367,5.78481
41.0836,-2.68082
51.1207,4.40678
63.7116,-7.44227
64.1699,22.0248
61.6658,-5.10714
44.6937,2.34217
59.2119,-11.1214
44.2304,-14.4415
49.1271,13.6057
40.4075,5.29705
47.3148,-6.69069
36.5616,-22.0253
57.6394,-13.2123
44.4153,12.8156
51.9412,-1.87751
40.7259,-8.19318
48.1853,18.1326
34.2264,-8.9752
58.7694,14.1695
47.752,-13.335
50.6113,18.4438
42.0217,-14.6871
45.1455,1.186
46.2433,9.47716
28.2933,-1.92681
47.256,4.63704
43.3924,-8.77929
64.2999,30.4289
44.094,-3.05531
51.8036,-12.4453
40.0923,-16.651
68.5061,-19.0918
63.4083,-2.06856
50.5631,2.54468
60.1416,1.11789
38.1287,-1.39115
69.3024,4.02176
58.6538,7.21672
37.0278,-3.629
50.3231,2.11574
56.9054,-11.355
46.7537,2.02797
63.9478,3.35047
46.8835,-3.81144
38.7585,0.08179
60.5083,-11.5789
36.2432,-8.39149
57.9176,3.09896
42.0025,-10.6565
50.7768,5.5336
64.1582,-4.66963
40.3269,-2.71121
61.6478,4.00506
46.8714,11.52
55.1426,-4.88805
51.5471,-5.24244
40.6612,-20.1426
26.3347,6.93903
64.9094,-20.8204
35.4698,-16.1738
43.1637,-1.94852
41.4952,-17.2616
47.0976,-7.89425
43.5095,14.5849
52.9988,14.9125
40.3594,-3.61209
54.3543,-12.2524
43.8312,-12.0009
71.4046,16.7721
34.4989,3.39128
38.9552,-4.0441
44.409,-0.676319
42.9172,6.53999
47.266,0.64794
50.3204,3.36857
49.3521,0.42427
46.6485,1.07535
38.0777,-5.11151
47.226,3.02948
48.3273,-1.459
57.6905,11.5956
56.5835,8.16115
52.3543,21.9671
42.4711,-4.51724
58.4925,19.4242
50.1196,-2.83792
60.4025,-6.05668
52.7159,-5.46834
64.3586,-14.0644
61.7431,5.90887
52.2721,-19.6121
58.2968,12.3856
43.531,-1.3267
45.026,26.0377
39.1367,-17.5862
66.8389,3.13713
59.12,-2.79029
39.1158,17.1525
